old_adm3_pcode,new_adm3_pcode,share_of_old,share_of_new,intersection_km2,old_adm3_name,new_adm3_name,likely_change_type
ET042013,ET042009,0.070735,0.850867,80.683683,Sululta,Mana Abichu,complex_many_to_many
ET010305,ET010317,0.06958,0.174593,60.562245,Hawzen,Geraleta,complex_many_to_many
ET040704OU068,ET040797,0.069555,1,51.695382,Lome (Oromia),Mojo town,likely_split_old_to_many_new
ET050301,ET050306,0.069407,0.238364,328.586366,Degehamedo,Bilcil-Bur,complex_many_to_many
ET070403,ET160204,0.068452,0.131739,22.352039,Arbe Gonna,Gorche,complex_many_to_many
ET050104,ET050109,0.068345,0.092642,208.825875,Erer (Somali),Dhunyar,likely_merge_many_old_to_new
ET050903,ET050802,0.06723,0.036387,308.574182,Goro Baqaqsa,Charati,complex_many_to_many
ET011068,ET010705,0.065495,0.093991,0.357457,Adhaki,Adihaki Sub City,complex_many_to_many
ET050303,ET050382,0.065083,0.13431,202.793284,Aware,Yocale,complex_many_to_many
ET041008,ET041019,0.064973,0.087135,31.027241,Kersa (East Hararge),Maya town,likely_merge_many_old_to_new
ET070909,ET110217,0.06467,1,68.303392,Chena,Shishinda town,likely_split_old_to_many_new
ET050301,ET050290,0.063885,0.439833,302.443402,Degehamedo,Goljano,likely_split_old_to_many_new
ET050394,ET051003,0.062427,0.047344,164.168732,Burqod,Garbo,likely_merge_many_old_to_new
ET050302OU060,ET050394,0.062072,0.155496,408.587604,Degehabur,Burqod,likely_split_old_to_many_new
ET050788,ET050704,0.062058,0.005679,61.683595,Daratole,Warder,likely_merge_many_old_to_new
ET070607,ET080122,0.061132,0.381756,23.562242,Ofa,Bayera Koyesha,complex_many_to_many
ET070418,ET160302,0.060072,0.11438,13.266019,Bona Zuria,Shafamo,complex_many_to_many
ET050101,ET050106,0.059863,0.089703,352.012503,Ayisha,Hadhagala,likely_split_old_to_many_new
ET050404OU056,ET050402,0.059719,0.064048,195.953332,Hamero,Fik,complex_many_to_many
ET010404,ET010603,0.059594,0.050449,47.209343,Alage,Hintalo,likely_split_old_to_many_new
ET070501,ET081107,0.059512,0.052335,8.755936,Wenago,Rape,complex_many_to_many
ET051003,ET051005,0.058318,0.103776,264.708913,Garbo,Sagag,complex_many_to_many
ET040805,ET040895,0.058102,1,30.025296,Dodota,Dera town,one_to_one_redraw_or_recode
ET070506,ET081110,0.057877,1,18.386664,Kochere Gedeb,Gedeb town,likely_split_old_to_many_new
ET040310,ET040320,0.057582,0.727098,43.210012,Metu Zuria,Metu town,one_to_one_redraw_or_recode
ET020104,ET020102,0.057385,0.008577,98.123935,Afambo,Elidar,complex_many_to_many
ET020302,ET020396,0.056633,0.829933,57.477471,Awash Fentale,Awash town,one_to_one_redraw_or_recode
ET0201051,ET020603,0.055654,0.062375,130.27101,Adaa'r,Yangudi,complex_many_to_many
ET050701,ET050304,0.055455,0.038772,447.269585,Danod,Gashamo,likely_split_old_to_many_new
ET072003,ET072009,0.055179,1,25.468396,Lanfero,Tora town,likely_split_old_to_many_new
ET050206OU059,ET050207,0.055031,0.048572,220.218704,Kebribeyah,Harshin,likely_split_old_to_many_new
ET010210,ET010208,0.053383,0.107493,77.182097,Tanqua Abergele,Kola Tembien,likely_split_old_to_many_new
ET050806,ET050802,0.051559,0.065202,552.924869,Hargele,Charati,complex_many_to_many
ET042014OU069,ET042011,0.051128,0.160229,34.47748,Welmera,Sebeta,complex_many_to_many
ET040503,ET040515,0.051052,0.546627,47.764135,Ambo Zuria,Ambo town,one_to_one_redraw_or_recode
ET040193,ET040103,0.05086,0.001692,1.527118,Gimbi Town,Gimbi,one_to_one_redraw_or_recode
ET070417,ET160408,0.049411,0.131583,15.117791,Chuko,Dara Otilicho,complex_many_to_many
ET070402,ET160209,0.048845,0.09779,26.582583,Hawassa Zuria,Bilate Zuria,complex_many_to_many
ET040704OU068,ET040714,0.047393,0.054596,35.223848,Lome (Oromia),Adama town,complex_many_to_many
ET050305,ET050501,0.04658,0.07167,124.105398,Gunagado,Shaygosh,complex_many_to_many
ET010408,ET990301,0.045588,0.065575,50.543536,Ofla,Raya Alamata,complex_many_to_many
ET050602,ET050898,0.045401,0.145464,410.456878,Adadle,Kohle /Qoxle,likely_merge_many_old_to_new
ET050802,ET050804,0.045168,0.060853,408.589808,Charati/Weyib,Elkare /Serer,likely_split_old_to_many_new
ET010203,ET010217,0.045035,0.27867,57.129605,Werei Leke,Hahayle,complex_many_to_many
ET050503,ET050597,0.04284,0.20315,529.321224,Shilabo,Higloley,complex_many_to_many
ET050806,ET050807,0.041697,0.07276,447.159419,Hargele,Barey,complex_many_to_many
ET071101,ET110310,0.041458,1,20.280918,Sheka,Sheko town,likely_split_old_to_many_new
ET050102,ET050299,0.041338,0.077098,118.369114,Dembel,Harawo,likely_merge_many_old_to_new
ET050503,ET050798,0.039844,0.171952,492.302568,Shilabo,Lehel-Yucub,complex_many_to_many
ET010602,ET010702,0.039163,0.801359,52.026937,Enderta,Hadnet Sub City,complex_many_to_many
ET010303,ET010306,0.039038,0.083022,41.02615,Saesie Tsaedamba,Kilte Awulaelo,complex_many_to_many
ET031112OU003,ET031119,0.038871,0.079462,118.020703,Chilga,Masero Denb /Central Armacho,complex_many_to_many
ET050901,ET050991,0.038302,0.101469,415.230783,Filtu,Deka Suftu,one_to_one_redraw_or_recode
ET041501,ET041587,0.036998,0.740782,35.805422,Bule Hora,Bule Hora town,one_to_one_redraw_or_recode
ET050207,ET050382,0.036899,0.110413,166.711766,Harshin,Yocale,complex_many_to_many
ET020104,ET020103,0.036305,0.058108,62.078323,Afambo,Asayita,likely_split_old_to_many_new
ET050502OU070,ET050504,0.035995,0.14422,321.868132,Kebridehar,Debeweyin,complex_many_to_many
ET010601,ET010401,0.035862,0.226696,62.446459,Saharti Samre,Selewa,complex_many_to_many
ET070502,ET081107,0.035819,0.061293,10.254725,Yirgachefe,Rape,complex_many_to_many
ET050302OU060,ET050307,0.035623,0.96794,234.484317,Degehabur,Degahabur town,likely_split_old_to_many_new
ET070414,ET160306,0.034583,0.110173,30.377554,Loka Abaya,Darara,complex_many_to_many
ET050205OU058,ET050295,0.034417,0.999997,115.12847,Aw-bare,Wajale town,likely_split_old_to_many_new
ET030305,ET030315,0.034331,1,29.385944,Wadla,Gashena town,one_to_one_redraw_or_recode
ET010305,ET010306,0.033023,0.058165,28.743114,Hawzen,Kilte Awulaelo,complex_many_to_many
ET050106,ET050103,0.032703,0.093308,333.766134,Hadhagala,Shinile,likely_split_old_to_many_new
ET041704,ET041713,0.031799,1,21.330063,Kofele,Kofele town,one_to_one_redraw_or_recode
ET070304OU052,ET070310,0.031455,1,5.953379,Kacha Bira,Shinshincho town,likely_split_old_to_many_new
ET042013,ET040621,0.030992,1,35.350434,Sululta,Chancho town,likely_split_old_to_many_new
ET070418,ET160410,0.030746,0.093775,6.789706,Bona Zuria,Chirone,complex_many_to_many
ET051006,ET050403,0.030346,0.605167,90.017353,Dihun,Salahad,complex_many_to_many
ET071105,ET110509,0.029985,1,50.486309,Menit Goldiye,Bachuma town,likely_split_old_to_many_new
ET020103,ET020111,0.02994,1,50.216873,Asayita,Asayita town,likely_split_old_to_many_new
ET041901OU037,ET041905,0.029347,0.087525,26.447091,Horo,Abay Chomen,likely_split_old_to_many_new
ET050701,ET050788,0.028903,0.19896,233.117797,Danod,Daratole,likely_split_old_to_many_new
ET040610,ET040611,0.028665,1,18.18564,Kimbibit,Sheno town,one_to_one_redraw_or_recode
ET050298,ET050283,0.027489,0.069378,29.711927,Haroreys,Tuliguled,likely_split_old_to_many_new
ET070205OU065,ET070212,0.027434,1,8.169016,Misrak Badawacho,Shone town,likely_split_old_to_many_new
ET050302OU060,ET050301,0.027368,0.05111,180.151785,Degehabur,Degehamedo,complex_many_to_many
ET040704OU068,ET040703,0.026921,0.054341,20.008327,Lome (Oromia),Adama,likely_split_old_to_many_new
ET070606,ET080123,0.026542,1,13.971183,Kindo Koyesha,Bale Awassa town,likely_split_old_to_many_new
ET010307,ET010314,0.026479,0.059805,30.428589,Atsbi Wenberta,Tsaeda Emba,complex_many_to_many
ET071901,ET110603,0.026361,1,62.042166,Ela (Konta) SP Woreda,Amaya town,likely_split_old_to_many_new
ET040407,ET040417,0.026273,0.735142,22.694661,Goma,Agaro town,one_to_one_redraw_or_recode
ET040213,ET040297,0.025963,0.298515,24.448461,Guto Gida,Nekemte town,likely_merge_many_old_to_new
ET070609,ET080118,0.025741,1,4.658184,Damot Sore,Gununo Hamus town,likely_split_old_to_many_new
ET040818,ET040894,0.025667,0.873077,30.306937,Limu Bilbilo,Bokoji town,likely_merge_many_old_to_new
ET071107,ET110511,0.025141,1,117.118062,Maji,Maji Tum town,likely_split_old_to_many_new
ET010204,ET010212,0.025035,0.59841,16.339317,Adwa,Adwa town,one_to_one_redraw_or_recode
ET030208OU063,ET030298,0.024611,1,33.616358,East Esite,Mekan Eyesuse,likely_split_old_to_many_new
ET070409,ET160505,0.023662,0.115571,17.843581,Aroresa,Daella,complex_many_to_many
ET050605,ET050504,0.023481,0.063573,141.881054,Kelafo,Debeweyin,complex_many_to_many
ET040103,ET040193,0.023258,0.423405,20.927226,Gimbi,Gimbi town,one_to_one_redraw_or_recode
ET070409,ET160509,0.022944,0.140636,17.30203,Aroresa,Chabe Gambeltu,complex_many_to_many
ET042006,ET042003,0.022422,0.354721,16.82088,Sebeta Hawas,Furi,complex_many_to_many
ET071901,ET110602,0.022015,1,51.812968,Ela (Konta) SP Woreda,Chida town,likely_split_old_to_many_new
ET050502OU070,ET050698,0.021905,0.071752,195.877839,Kebridehar,Elale,complex_many_to_many
ET010602,ET010703,0.021286,0.679028,28.278239,Enderta,Ayder Sub City,complex_many_to_many
ET030702,ET031405,0.021283,1,30.719803,Bahirdar Zuria,Meshenti town,likely_split_old_to_many_new
ET020301,ET020310,0.021166,1,73.437637,Amibara,Werer,likely_split_old_to_many_new
ET042006,ET042010,0.020699,0.388095,15.528616,Sebeta Hawas,Melka Nonno,complex_many_to_many
ET040604,ET040616,0.019711,1,18.671402,Kuyu,Garba Guracha,one_to_one_redraw_or_recode
ET071305,ET080601,0.019193,0.0538,44.794368,Konso,Alle Special,complex_many_to_many
ET050392,ET050303,0.019015,0.050512,130.685385,Daror,Aware,one_to_one_redraw_or_recode
ET040101OU048,ET040198,0.018543,1,34.137323,Mana Sibu,Mendi town,likely_split_old_to_many_new
ET060403,ET060400,0.018472,1,27.937952,Kamashi,Kamashi town,one_to_one_redraw_or_recode
ET070606,ET080120,0.018146,0.05845,9.551755,Kindo Koyesha,Kawo Koyesha,complex_many_to_many
ET041303,ET041311,0.016647,0.487973,12.326373,Waliso,Woliso town,one_to_one_redraw_or_recode
ET070607,ET080117,0.016273,1,6.272086,Ofa,Gesuba town,likely_split_old_to_many_new
ET050207,ET050395,0.015374,0.071391,69.460938,Harshin,Ararso,likely_split_old_to_many_new
ET030702,ET031403,0.014483,0.303354,20.903631,Bahirdar Zuria,Zege town,likely_split_old_to_many_new
ET070501,ET081113,0.014482,1,2.130751,Wenago,Wonago town,likely_split_old_to_many_new
ET010501,ET990101,0.014411,0.860718,89.383681,Kafta Humera,Setit Humera town,complex_many_to_many
ET042014OU069,ET042009,0.014284,0.101577,9.632043,Welmera,Mana Abichu,complex_many_to_many
ET071017,ET080302,0.014132,1,7.43574,Geze Gofa,Buleqi town,likely_split_old_to_many_new
ET050101,ET050299,0.014025,0.053716,82.470508,Ayisha,Harawo,complex_many_to_many
ET070401,ET160206,0.013654,1,2.692702,Shebe Dino,Leku town,likely_split_old_to_many_new
ET040206,ET040297,0.013473,0.066449,5.442228,Wayu Tuka,Nekemte town,likely_merge_many_old_to_new
ET010306,ET010309,0.013054,0.618891,12.624066,Kelete Awelallo,Wukro town,likely_split_old_to_many_new
ET071007,ET080206,0.013046,1,4.873825,Chencha,Chencha town,likely_split_old_to_many_new
ET030604,ET030623,0.012958,1,13.941717,Enebse Sarmder,Merto Lemariyam town,one_to_one_redraw_or_recode
ET070110,ET070116,0.012874,1,7.301517,Cheha,Emdebir town,one_to_one_redraw_or_recode
ET041703OU042,ET041799,0.012538,0.450818,23.05674,Arsi Negele,Arsi Negele town,complex_many_to_many
ET010101,ET010107,0.012023,0.639708,46.281529,Tahtay Adiyabo,Sheraro town,likely_split_old_to_many_new
ET051006,ET050499,0.011892,0.07187,35.276526,Dihun,Wangey,complex_many_to_many
ET010405,ET010409,0.011667,0.462139,7.490445,Endamehoni,Maichew town,likely_split_old_to_many_new
ET030508OU066,ET030598,0.011662,1,6.031218,Eferatana Gidem,Ataye town,likely_split_old_to_many_new
ET050502OU070,ET050592,0.011632,0.90236,104.016051,Kebridehar,Kebridehar town,likely_split_old_to_many_new
ET042006,ET042004,0.011621,0.070438,8.717741,Sebeta Hawas,Galan,complex_many_to_many
ET071104,ET110308,0.011529,1,6.457546,Shay Bench,Size town,likely_split_old_to_many_new
ET010104,ET010108,0.011513,0.525945,7.694973,Tahtay Koraro,Shire Endaslasie town,likely_split_old_to_many_new
ET030907,ET030911,0.011292,1,3.341668,Guagusa Shikudad,Tilili town,one_to_one_redraw_or_recode
ET050604OU062,ET050696,0.011287,0.597088,46.67878,Gode,Godey town,likely_split_old_to_many_new
ET041712,ET041797,0.011135,0.196682,7.821667,Shashemene Zuria,Wondo,likely_split_old_to_many_new
ET041502OU064,ET041503,0.010968,1,8.402638,Kercha,Kercha town,likely_split_old_to_many_new
ET050206OU059,ET050298,0.010736,0.051704,42.962459,Kebribeyah,Haroreys,likely_split_old_to_many_new
ET050601OU071,ET050403,0.010659,0.394833,58.73056,East Imi,Salahad,complex_many_to_many
ET030412OU019,ET030498,0.010492,1,10.789626,Borena / Debresina,Mekane Selam town,likely_split_old_to_many_new
ET030410,ET030427,0.010311,1,10.417005,Legambo,Akeseta town,likely_split_old_to_many_new
ET072101OU050,ET071401,0.010066,1,9.840931,Halaba SP Woreda,Kulito town,likely_split_old_to_many_new
ET010304,ET010308,0.009515,0.258433,4.994454,Ganta Afeshum,Adigrat town,likely_split_old_to_many_new
ET010407,ET990304,0.009506,0.565446,7.148154,Alamata,Alamata town,complex_many_to_many
ET070908,ET110216,0.00944,1,27.882274,Decha,Awurada town,likely_split_old_to_many_new
ET050304,ET050399,0.00929,0.066048,107.14513,Gashamo,Dig,likely_merge_many_old_to_new
ET050404OU056,ET050497,0.009129,0.053211,29.955832,Hamero,Qubi,likely_split_old_to_many_new
ET030510,ET030527,0.008751,1,4.949497,Tarema Ber,Debre Sina town,one_to_one_redraw_or_recode
ET071304,ET080702,0.008732,1,6.107192,Derashe,Gidole town,likely_split_old_to_many_new
ET070503,ET081112,0.008232,1,1.598288,Kochere,Chelelektu town,likely_split_old_to_many_new
ET010603,ET010607,0.008112,0.990106,16.071345,Hintalo Wajirat,Adigudom,likely_split_old_to_many_new
ET030903OU002,ET030909,0.007872,1,8.215186,Ankasha,Agew Gimija Bet town,likely_split_old_to_many_new
ET070701,ET080402,0.007521,1,3.088686,Basketo SP Woreda,Laska town,likely_split_old_to_many_new
ET030307OU011,ET030306,0.007311,1,6.588058,Guba Lafto,Hara town,likely_split_old_to_many_new
ET050206OU059,ET050296,0.007263,1,29.062821,Kebribeyah,Kebribayah town,likely_split_old_to_many_new
ET030708OU023,ET030717,0.007129,1,6.924792,Dembecha,Denbecha town,likely_split_old_to_many_new
ET071201,ET072401,0.007023,1,5.366332,Yem SP Woreda,Saja town,likely_split_old_to_many_new
ET031109,ET031103,0.006632,1,8.214009,Wegera,Amba Giorgis town,one_to_one_redraw_or_recode
ET070417,ET160406,0.006457,1,1.975514,Chuko,Chuko town,likely_split_old_to_many_new
ET031206OU024,ET031223,0.006397,1,9.585415,Mirab Armacho,Midre Genet,likely_split_old_to_many_new
ET070909,ET110214,0.00603,1,6.368731,Chena,Wacha town,likely_split_old_to_many_new
ET030304OU010,ET030314,0.006028,1,11.518685,Meket,Filakit town,likely_split_old_to_many_new
ET070703,ET080504,0.005665,1,1.591924,Gelila / North Ari,Gelila town,likely_split_old_to_many_new
ET071106,ET110510,0.0055,1,16.079041,Menit Shasha,Jemu town,likely_split_old_to_many_new
ET010301,ET010318,0.005197,1,3.097375,Gulo Mekeda,Zala Anbesa town,likely_split_old_to_many_new
ET030406,ET030424,0.005133,1,5.429162,Delanta,Wegel tena town,one_to_one_redraw_or_recode
ET071102,ET110309,0.005121,1,12.953118,Gurafereda,Biftu town,likely_split_old_to_many_new
ET030205OU016,ET030215,0.005062,1,7.712592,Lay Gayint,Nefas Mewicha town,likely_split_old_to_many_new
ET010604,ET010605,0.005027,1,5.230905,Dega Temben,Hagere Selam town,likely_split_old_to_many_new
ET060303,ET060309,0.004968,1,14.510746,Assosa,Assosa town Admin,likely_split_old_to_many_new
ET030606OU005,ET030699,0.004807,1,3.526092,Enemay,Bechena town,likely_split_old_to_many_new
ET010205,ET010213,0.004754,0.140458,2.546892,Laelay Maychew,Axum town,likely_split_old_to_many_new
ET070408,ET160504,0.004703,1,2.569186,Bensa,Daye town,likely_split_old_to_many_new
ET010305,ET010312,0.004701,1,4.091803,Hawzen,Hawzen town,likely_split_old_to_many_new
ET050601OU071,ET050809,0.004602,0.085255,25.354864,East Imi,Raso,complex_many_to_many
ET030415OU020,ET030423,0.004523,1,3.353998,Were Ilu,Wereilu town,likely_split_old_to_many_new
ET071201,ET072402,0.004517,1,3.451627,Yem SP Woreda,Fofa,likely_split_old_to_many_new
ET070206,ET070214,0.004493,1,3.284802,Soro,Jajura town,likely_split_old_to_many_new
ET030405OU018,ET030499,0.00443,1,1.966791,Thehulederie,Hike town,likely_split_old_to_many_new
ET030105OU008,ET030106,0.004357,1,4.768859,Dabat,Dabat town,likely_split_old_to_many_new
ET030703OU021,ET031309,0.004232,1,3.921855,Yilmana Densa,Adete town,likely_split_old_to_many_new
ET070105,ET070402,0.00421,1,3.512666,Sodo,Bui town,likely_split_old_to_many_new
ET030613OU006,ET030698,0.004125,1,2.587817,Dejen,Dejen town,likely_split_old_to_many_new
ET071005,ET080203,0.004115,1,3.297424,Mirab Abaya,Birbir town,likely_split_old_to_many_new
ET030502OU009,ET030599,0.00408,1,4.282333,Merhabete,Aleme Ketma town,likely_split_old_to_many_new
ET041207OU029,ET041296,0.00399,1,16.050351,Yabelo,Yabelo town,likely_split_old_to_many_new
ET071013,ET080213,0.003965,1,3.141704,Bonke,Geressie town,likely_split_old_to_many_new
ET070604OU053,ET080116,0.003952,1,3.428792,Humbo,Tebela town,likely_split_old_to_many_new
ET060204,ET060200,0.003937,1,4.047293,Mandura,Gilgel Beles town,one_to_one_redraw_or_recode
ET010502,ET990109,0.003874,1,14.717271,Welkait,May Gaba,likely_split_old_to_many_new
ET030603OU007,ET030620,0.003725,1,3.869063,Goncha Siso Enebse,Gundwoin town,likely_split_old_to_many_new
ET030308OU012,ET030397,0.003675,1,4.860147,Habru,Mersa town,likely_split_old_to_many_new
ET030202OU013,ET030299,0.003641,1,3.641099,Libokemekem,Adiss Zemen town,likely_split_old_to_many_new
ET030414,ET030425,0.003634,1,3.825346,Jama,Degolo town,one_to_one_redraw_or_recode
ET070902,ET110215,0.003617,1,2.632398,Gesha (Deka),Deka town,likely_split_old_to_many_new
ET030505OU067,ET030597,0.003606,1,4.013375,Menze Gera Midir,Mehal Meda town,likely_split_old_to_many_new
ET030605,ET030621,0.003566,1,3.328443,Enarj Enawga,Debrework town,one_to_one_redraw_or_recode
ET070420,ET160201,0.003478,1,0.715765,Wondo-Genet,Wondo-Genet town,likely_split_old_to_many_new
ET010408,ET990303,0.003471,0.343124,3.848104,Ofla,Korem town,complex_many_to_many
ET060305,ET060310,0.003163,1,4.707799,Bambasi,Bambasi town,one_to_one_redraw_or_recode
ET030905,ET030910,0.003142,1,2.051751,Fagta Lakoma,Adiss Kidame town,one_to_one_redraw_or_recode
ET070206,ET070213,0.00312,1,2.280849,Soro,Gimbichu town,likely_split_old_to_many_new
ET030609,ET030618,0.003049,1,2.246661,Michakel,Amanuel town,one_to_one_redraw_or_recode
ET010202,ET010220,0.003048,1,3.851707,Aheferom,Enticho town,likely_split_old_to_many_new
ET010303,ET010313,0.002935,1,3.08478,Saesie Tsaedamba,Freweyni town,likely_split_old_to_many_new
ET030407,ET030429,0.002906,1,2.475874,Kalu,Harbu town,one_to_one_redraw_or_recode
ET030709,ET030720,0.002841,1,3.40989,Jabi Tehnan,Jiga town,one_to_one_redraw_or_recode
ET071011,ET080301,0.002822,1,2.127196,Ouba Debretsehaye,Beto town,likely_split_old_to_many_new
ET010303,ET010311,0.002757,1,2.897692,Saesie Tsaedamba,Edaga Hamus town,likely_split_old_to_many_new
ET031004,ET031007,0.002606,1,1.59772,Artuma Fursi,Chef Robit town,one_to_one_redraw_or_recode
ET010602,ET010707,0.002577,0.094649,3.423058,Enderta,Semen Sub City,complex_many_to_many
ET031111OU004,ET031105,0.002468,1,3.197588,Dembia,Kolla Debba town,likely_split_old_to_many_new
ET071003,ET080220,0.002463,1,3.427805,Kucha,Selamber town,likely_split_old_to_many_new
ET030504,ET030528,0.002352,1,1.558147,Moretna Jiru,Enewari town,one_to_one_redraw_or_recode
ET010406,ET010412,0.002237,1,3.89185,Raya Azebo,Mekhoni town,likely_split_old_to_many_new
ET030209,ET030218,0.002203,1,3.360863,Dera (Amhara),Hamusit town,one_to_one_redraw_or_recode
ET030207OU017,ET030216,0.002147,1,4.822256,Semada,Wegeda town,likely_split_old_to_many_new
ET030509,ET030526,0.002145,1,1.396369,Menze Mama Midir,Molale town,one_to_one_redraw_or_recode
ET071012,ET080214,0.002078,1,2.412835,Kemba,Kemba town,likely_split_old_to_many_new
ET030704OU022,ET031302,0.001942,1,2.882954,Mecha,Merawi town,likely_split_old_to_many_new
ET030612,ET030622,0.001887,1,1.529405,Awabel,Lumame town,one_to_one_redraw_or_recode
ET030410,ET030428,0.001856,1,1.874908,Legambo,Gimeba town,likely_split_old_to_many_new
ET030713,ET031308,0.001813,1,1.998425,Debub Achefer,Dure Bete,likely_split_old_to_many_new
ET031213OU025,ET031224,0.001694,1,9.035543,Metema,Metema Yohanes town,likely_split_old_to_many_new
ET010602,ET010704,0.001624,0.136139,2.157183,Enderta,Hawelti Sub City,complex_many_to_many
ET020106,ET020113,0.001541,1,2.290291,Chifra,Chifra town,one_to_one_redraw_or_recode
ET010106,ET990203,0.001539,1,4.345901,Tselemti,May Tsebri town,likely_split_old_to_many_new
ET031115,ET031104,0.001429,1,2.801173,Alfa,Shawra town,one_to_one_redraw_or_recode
ET030413,ET030426,0.001423,1,2.032849,Kelela,Kelala town,one_to_one_redraw_or_recode
ET010105,ET010114,0.001328,1,3.144867,Asgede Tsimbila,Endabaguna town,likely_split_old_to_many_new
ET030711,ET030716,0.001309,1,1.8049,Wemberma,Shendi town,one_to_one_redraw_or_recode
ET031003,ET031008,0.001305,1,1.162038,Jilye Tumuga,Senbete town,one_to_one_redraw_or_recode
ET071305,ET080903,0.001228,1,2.865515,Konso,Karat town,likely_split_old_to_many_new
ET010602,ET010705,0.001163,0.406374,1.54549,Enderta,Adihaki Sub City,complex_many_to_many
ET071703,ET110412,0.001124,1,1.316415,Lome (SNNP),Gesa town,likely_split_old_to_many_new
ET030518,ET030525,0.00111,1,1.91549,Minjar Shenkora,Arerti town,one_to_one_redraw_or_recode
ET030416,ET030430,0.001089,1,1.221376,Wegde,Wegedi town,one_to_one_redraw_or_recode
ET071302,ET080802,0.00101,1,1.640788,Amaro,Kele town,likely_split_old_to_many_new
ET031112OU003,ET031199,0.000984,1,2.988667,Chilga,Aykel town,likely_split_old_to_many_new
ET071001,ET080305,0.00092,1,1.427303,Melekoza,Laha town,likely_split_old_to_many_new
ET020101OU001,ET020107,0.000912,1,6.761423,Dubti,Dubti town,likely_split_old_to_many_new
ET030201OU015,ET030217,0.000911,1,2.152868,Ebenat,Ebenat town,likely_split_old_to_many_new
ET070704,ET081207,0.000901,1,5.314552,Hamer,Turmi town,likely_split_old_to_many_new
ET010307,ET010315,0.000879,1,1.010482,Atsbi Wenberta,Atsbi town,likely_split_old_to_many_new
ET010208,ET010211,0.000727,0.050379,0.993158,Kola Temben,Abiy Adi town,likely_split_old_to_many_new
ET041004OU031,ET041000,0.000695,1,3.39484,Babile (Oromia),Babile town,likely_split_old_to_many_new
ET030803,ET030809,0.000541,1,0.888815,Dehana,Amde Work town,one_to_one_redraw_or_recode
ET020105,ET020112,0.000478,1,1.945576,Mile,Mile town,likely_split_old_to_many_new
ET030906,ET030912,0.000442,1,1.452431,Jawi,Fendika town,one_to_one_redraw_or_recode
ET010409,ET010409,1,0.537861,8.717767,Maychew Town,Maichew town,same_pcode
ET020102,ET020102,1,0.952785,10900.28498,Elidar,Elidar,same_pcode
ET020198,ET020198,1,1,75.806451,Logiya-Semera,Samera Logiya town,same_pcode
ET020201,ET020201,1,1,2613.39071,Erebti,Erebti,same_pcode
ET020202,ET020202,1,1,349.369008,Kunneba,Kunneba,same_pcode
ET020204,ET020204,1,1,1128.593718,Megale,Megale,same_pcode
ET020205,ET020205,1,1,2915.765246,Berahile,Berahile,same_pcode
ET020206,ET020206,1,1,2232.317182,Dalol,Dalol,same_pcode
ET020207,ET020207,1,1,12493.92792,Afdera,Afdera,same_pcode
ET020306,ET020306,1,1,365.063816,Arguba Special,Arguba,same_pcode
ET020396,ET020396,1,0.170067,11.778126,Awash City,Awash town,same_pcode
ET020401,ET020401,1,1,2292.717132,Awra,Awra (AF),same_pcode
ET020402,ET020402,1,1,1444.345014,Ewa,Euwa,same_pcode
ET020404,ET020404,1,1,764.175252,Yalo,Yalo,same_pcode
ET020405,ET020405,1,1,846.917933,Gulina,Gulina,same_pcode
ET020502,ET020502,1,1,1444.974359,Samurobi Gele'alo,Samurobi,same_pcode
ET020503,ET020503,1,1,749.567583,Dewe,Dawe,same_pcode
ET020505,ET020505,1,1,1257.344351,Hadelela,Hadelela,same_pcode
ET030101,ET030101,1,1,1467.387779,Addi Arekay,Addi Arekay,same_pcode
ET030102,ET030102,1,1,968.375835,Beyeda,Beyeda,same_pcode
ET030103,ET030103,1,0.999997,1296.695981,Janamora,Janamora,same_pcode
ET030104,ET030104,1,1,1246.399179,Debark,Debark,same_pcode
ET030119,ET030119,1,1,776.055999,Telemt,Telemt,same_pcode
ET030198,ET030198,1,1,5.658017,Debark Town,Debark town,same_pcode
ET030203,ET030203,1,0.828232,1105.974613,Fogera,Fogera,same_pcode
ET030206,ET030206,1,1,825.915756,Tach Gayint,Tach Gayint,same_pcode
ET030210,ET030210,1,1,110.934412,Debre Tabor Town,Debre Tabor town,same_pcode
ET030211,ET030211,1,1,810.017162,West Esite,Andabet /West Esite,same_pcode
ET030293,ET030293,1,1,5.84116,Woreta Town,Woreta town,same_pcode
ET030301,ET030301,1,1,1303.954594,Bugna,Bugna,same_pcode
ET030302,ET030302,1,1,1922.358923,Raya Kobo,Raya Kobo,same_pcode
ET030303,ET030303,1,1,1087.319316,Gidan,Gidan,same_pcode
ET030309,ET030309,1,1,78.911399,Woldiya Town,Woldiya town,same_pcode
ET030310,ET030310,1,1,1115.935952,Lasta,Lasta,same_pcode
ET030311,ET030311,1,1,618.683831,Dawunt,Dawunt,same_pcode
ET030398,ET030398,1,1,7.823159,Lalibela Town,Lalibela town,same_pcode
ET030399,ET030399,1,1,5.908738,Kobo Town,Kobo town,same_pcode
ET030401,ET030401,1,1,315.139912,Argoba,Argoba,same_pcode
ET030402,ET030402,1,1,1317.37395,Tenta,Tenta,same_pcode
ET030403,ET030403,1,1,720.44794,Kutaber,Kutaber,same_pcode
ET030404,ET030404,1,1,882.88275,Ambasel,Ambasel,same_pcode
ET030408,ET030408,1,1,477.012044,Albuko,Albuko,same_pcode
